index,accommodates,amenities,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,amenities__Wireless_Internet,amenities__Fire_Extinguisher,amenities__Laptop_Friendly_Workspace,amenities__Heating,amenities__Wheelchair_Accessible,amenities__Elevator_in_Building,amenities__Dog(s),amenities__Cat(s),amenities__Washer_/_Dryer,amenities__Smoking_Allowed,amenities__First_Aid_Kit,amenities__Pets_live_on_this_property,amenities__Pool,amenities__Lock_on_Bedroom_Door,amenities__Smoke_Detector,amenities__Shampoo,amenities__Buzzer/Wireless_Intercom,amenities__Safety_Card,amenities__Breakfast,amenities__Other_pet(s),amenities__Indoor_Fireplace,amenities__Iron,amenities__Hair_Dryer,amenities__Gym,amenities__Family/Kid_Friendly,amenities__Internet,amenities__Hot_Tub,amenities__Washer,amenities__Dryer,amenities__Pets_Allowed,amenities__24-Hour_Check-in,amenities__Cable_TV,amenities__Air_Conditioning,amenities__Hangers,amenities__Doorman,amenities__Essentials,amenities__Carbon_Monoxide_Detector,amenities__Suitable_for_Events,amenities__Free_Parking_on_Premises,amenities__TV,amenities__Kitchen,lbl_bed_type,lbl_cancellation_policy,lbl_has_availability,lbl_host_is_superhost,lbl_instant_bookable,lbl_property_type,lbl_room_type,index,price
0,6,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Other pet(s)"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",0,2.5,Real Bed,1.0,3.0,1,moderate,1,t,f,1.0,f,22.5429,114.0596,10,1,House,10.0,10.0,10.0,100.0,10.0,Private room,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,4,1,0,0,0,9,1,0,300.0
1,2,"{""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher""}",29,0.0,Futon,1.0,1.0,1,moderate,1,t,f,1.0,f,22.53949026,114.0432254,7,0,Camper/RV,9.0,9.0,9.0,95.0,9.0,Private room,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,5,1,1,99.0
2,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",30,1.5,Real Bed,1.0,1.0,2,flexible,1,t,f,2.0,f,22.50857255,114.079426,1125,0,House,9.0,9.0,9.0,95.0,9.0,Private room,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,4,0,0,0,0,9,1,2,100.0
3,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",30,1.5,Real Bed,1.0,1.0,2,flexible,1,t,f,2.0,f,22.50869749,114.0790348,1125,0,House,9.0,9.0,9.0,95.0,9.0,Private room,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,4,0,0,0,0,9,1,3,100.0
4,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",27,2.0,Real Bed,3.0,3.0,2,strict,1,t,f,301.0,f,22.50950177,114.0555903,1125,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,4,3,0,0,0,9,0,4,599.0
5,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",30,1.0,Real Bed,1.0,1.0,1,flexible,1,t,f,1.0,f,22.52683988,114.036466,1125,0,House,9.0,9.0,9.0,95.0,9.0,Private room,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,4,0,0,0,0,9,1,5,100.0
6,2,"{""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Heating,""Family/Kid Friendly""}",0,1.0,Futon,1.0,1.0,1,flexible,2,t,f,1.0,f,22.52777147,114.0236918,1125,0,Bed & Breakfast,9.0,9.0,9.0,95.0,9.0,Private room,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,6,54.0
7,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",16,1.0,Real Bed,1.0,1.0,1,moderate,2,t,f,1.0,t,22.52325961,114.0529223,7,2,House,10.0,10.0,10.0,100.0,10.0,Private room,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,4,1,0,0,1,9,1,7,40.0
8,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",29,1.0,Real Bed,1.0,3.0,1,flexible,2,t,f,2.0,t,22.52936805,114.0745361,1125,0,House,9.0,9.0,9.0,95.0,9.0,Private room,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,4,0,0,0,1,9,1,8,130.0
9,2,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",29,1.0,Real Bed,1.0,1.0,1,moderate,2,t,t,1.0,f,22.51049991,114.0739115,1125,20,House,10.0,10.0,10.0,99.0,10.0,Private room,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,4,1,0,2,0,9,1,9,44.0
